,CODIGO,NOMBRE FANTASIA,COMUNA,ESTACIONAMIENTO,ES PAR
303,93186,YASNA Y CARLITOS,CERRO NAVIA,NO,SI
304,93188,MI CHIQUITA,CERRO NAVIA,NO,SI
305,93200,COMERCIAL M Y F,CERRO NAVIA,NO,SI
306,93204,JC,CERRO NAVIA,NO,SI
307,93206,VICTORIA,CERRO NAVIA,NO,SI
308,93207,AGUCHAVE,CERRO NAVIA,NO,NO
309,93210,EL NACHO,CERRO NAVIA,NO,SI
310,93211,DONDE LA ABUELA,CERRO NAVIA,NO,NO
311,93228,AUDINA DIAZ,CERRO NAVIA,NO,SI
312,93229,COM MAGALY,CERRO NAVIA,NO,NO
313,93243,LAPICITO,LAS CONDES,NO,NO
314,93249,EL NARANJO,EL BOSQUE,NO,NO
315,93253,EL CISNE,RENCA,NO,NO
316,93260,COM DEUTSCHI,CERRO NAVIA,NO,SI
317,93265,BAZAR NOR YEN,CERRO NAVIA,NO,NO
318,93268,MINIMARKET AHORA SI,CERRO NAVIA,NO,SI
319,93270,EL GUATON VERA,CERRO NAVIA,NO,SI
320,93271,ROSALIA ELIANETH ARANZAEZ,SANTIAGO,NO,NO
321,93300,ERBI - SANTA ROSA,PUENTE ALTO,NO,SI
322,93313,EL CRISTO,LA FLORIDA,NO,NO
323,93314,LULY,PUENTE ALTO,NO,SI
324,93317,ALMACEN LA ESQUINA,PUENTE ALTO,NO,NO
325,93346,CIBERGAMERS,QUINTA NORMAL,NO,SI
326,93361,LA CAMPANA,PUENTE ALTO,NO,NO
327,93401,RENE,PUENTE ALTO,NO,NO
328,93402,SAN ALBERTO,PUENTE ALTO,NO,SI
329,93405,MARSAN,PUENTE ALTO,NO,NO
330,93414,MARSAN,PUENTE ALTO,NO,SI
331,93421,EL CHAYAVIENTOS,PUENTE ALTO,NO,NO
332,93435,TRINIDAD,PUENTE ALTO,NO,NO
333,93436,CARNICERIA RP,PUENTE ALTO,NO,SI
334,93437,CACHUREO,PUENTE ALTO,NO,NO
335,93440,GLADYS HERNANDEZ FLORES P,PUENTE ALTO,NO,SI
336,93442,ALMACEN DON TONO,PUENTE ALTO,NO,SI
337,93444,EL ALBA,PUENTE ALTO,NO,SI
338,93445,BAZAR VIKINGO,PUENTE ALTO,NO,NO
339,93446,CENTRO T Y T,PUENTE ALTO,NO,SI
340,93447,NOCEDAL,LA FLORIDA,NO,NO
341,93451,DONDE MARGARITA,LA FLORIDA,NO,NO
342,93454,ENRIQUE SANHUEZA OSSES,LA FLORIDA,NO,SI
343,93455,KIOSCO JULIA,LA FLORIDA,NO,NO
344,93458,SANTA TERESITA,LA FLORIDA,NO,SI
345,93459,CHO CHOL,LA FLORIDA,NO,NO
346,93460,ALFONSO RIVERA,QUILICURA,NO,SI
347,93468,YENNEVA,LA FLORIDA,NO,SI
348,93472,LA MAMI,LA FLORIDA,NO,SI
349,93478,ERBI - LA FLORIDA,LA FLORIDA,NO,SI
350,93480,ALISON,LA FLORIDA,NO,SI
